"ID","exp_cond","big_Or01","big_N02","big_Nr03","big_O04","big_E05","big_E06","big_C07","big_C08","big_N09","big_A10","big_Ar11","big_Nr12","big_Er13","big_C14","big_Or15","big_E16","big_O17","big_E18","big_A19","big_Cr20","big_Cr21","big_N22","big_Or23","big_A24","big_Or25","big_C26","big_Er27","big_Nr28","big_Cr29","big_Ar30","big_C31","big_Er32","big_N33","big_Cr34","big_Or35","big_N36","big_Ar37","big_A38","big_Cr39","big_E40","big_Er41","vas_ar","age","gender","edu","occ","income","inc_cur","inc_normed","fav_device","tech_interest","operating_sys","os_use","os_pref","session_length","page_trail","pages_visited","os_auto","quit_early","rt_1","rt_2","rt_3","rt_4","rt_5","rt_6","seriousness","so","z0_browser_screen_h","z0_browser_screen_w","start","end","true_trail","big_O","big_C","big_E","big_A","big_N"
16854,"89LIK",5,2,2,5,3,3,4,2,4,5,4,4,1,2,5,3,5,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,"man",NA,NA,NA,NA,NA,NA,NA,"win",NA,NA,126,"start.html - 148.html - 270.html - 392.html",4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0",NA,49838,NA,41563,33429,NA,NA,"participate","jk",864,1536,2024-03-23 02:32:21,2024-03-23 02:34:27,4,5,3,2.8,4,3
33952,"74VAS",5,4.4,4.4,2.9,1.6,1.4,3.3,2.6,1,5,4.2,3.4,4.4,5,1,1.2,2.8,1.9,1.7,4,4.2,4.6,3.7,4,3.3,4,1.9,1,5,2.5,1.6,3.9,3.5,2.1,3.7,1,5,3.4,3.8,3.1,4,80,18,"woman","primary","employed",200,"dollar",184,"Apple phone",29,"linux","mac","mac",374,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",NA,75856,NA,58630,63985,54608,49119,"participate","jk",768,1366,2024-03-23 02:49:46,2024-03-23 02:56:00,7,3.2,3.56,2.6,3.68571428571429,2.9125
51924,"74VAS",4.4,2.5,2.7,4.3,4.3,3.7,4,5,1,5,5,5,3.9,5,4.5,4.9,4.4,4.5,4.1,5,5,2.3,3.8,5,4.7,5,3.9,1,3.7,2.6,5,5,1,5,5,1,4.8,4.6,4.2,3.6,4.6,95,19,"woman","primary","student",NA,"dollar",NA,"Ipad",78,"iphone","mac","mac",439,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Mobile/15E148 Safari/604.1",NA,79736,NA,85949,67445,52302,74838,"participate","jk",844,390,2024-03-23 05:10:15,2024-03-23 05:17:34,7,4.44285714285714,4.69,4.26666666666667,4.44285714285714,2.0625
26941,"89LIK",5,2,2,3,1,4,4,1,2,5,5,3,1,3,3,3,4,4,4,5,4,2,3,5,2,4,4,2,2,5,5,5,2,5,5,2,5,4,4,4,5,69,37,"woman","high school","employed",7000,"dollar",6440,"iPhone",64,"mac","mac","mac",518,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:124.0) Gecko/20100101 Firefox/124.0",NA,34890,NA,73962,65539,80589,173280,"participate","jk",956,1470,2024-03-23 23:09:21,2024-03-23 23:17:59,7,3.57142857142857,3.7,3.44444444444444,4.71428571428571,2.125
20420,"66VASnt",5,3,4.4,3.4,1.1,1.8,4.6,4.5,1.9,4.1,2.4,2.4,1,5,1.8,1.3,5,1.4,2.6,3.6,2.9,1.5,5,2.7,1.2,5,1.3,3,2.2,4.5,3.6,1.2,1.8,3.7,3.3,1.3,3.2,1.8,4.4,2,1.4,54,60,"man","technical school","retired",1800,"pound",1800,"iPad",99,"mac","mac","mac",220,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15",NA,24645,39698,33583,31514,31021,58963,"participate","jk",1440,2560,2024-03-24 19:15:58,2024-03-24 19:19:38,7,3.52857142857143,3.95,1.38888888888889,3.04285714285714,2.4125
48670,"89LIK",4,4,3,4,2,5,3,4,1,5,4,3,4,4,4,3,4,5,5,5,5,4,4,4,3,5,4,2,4,5,5,3,2,3,4,3,5,4,4,4,3,50,25,"woman","college","employed",50000,"dollar",46000,"I phone",7,"win","win","win",256,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0",NA,21933,NA,42253,42164,52309,43548,"participate","jk",800,1280,2024-03-25 00:54:09,2024-03-25 00:58:25,7,3.85714285714286,4.2,3.66666666666667,4.57142857142857,2.75
72228,"74VAS",5,3.3,1.6,5,5,4.1,2.2,1,1.7,4.1,3.8,3.8,3,1.9,5,3.8,1,5,4.2,2.3,2.2,2.2,4,4.7,4.4,4.6,3.8,2.1,1.8,5,2.2,2.2,2.2,3.7,4.3,3.4,5,4.1,3.8,3.5,3.1,84,33,"woman","college graduate","employed",2000,"euro",2000,"electronic drumkit",79,"win","win","other",400,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:124.0) Gecko/20100101 Firefox/124.0",NA,37426,NA,48434,78223,50108,73930,"participate","ind",1080,1920,2024-03-25 14:05:53,2024-03-25 14:12:33,7,4.1,2.57,3.72222222222222,4.41428571428571,2.5375
69120,"74VAS",1.7,1,1.8,1.9,1,4.4,4.7,4.4,1,3.9,4.7,4.8,1.9,4.5,4.7,2,1,2.1,3.7,1.9,2.1,1,5,3.5,2.2,5,2.1,1.4,4.6,3.1,1.4,2.7,1.4,4.5,4,1.2,5,4.5,4.8,3.8,4.1,56,21,"man","high school","employed",2300,"dollar",2116,"Custom Built Gaming PC",100,"win","win","win",246,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",NA,36432,NA,40375,33027,26344,68468,"participate","jk",1152,2048,2024-03-25 18:19:31,2024-03-25 18:23:37,7,2.92857142857143,3.79,2.67777777777778,4.05714285714286,1.7
11105,"89LIK",4,5,5,4,3,5,2,4,4,4,2,3,4,3,4,4,3,4,3,4,2,5,4,5,5,5,4,5,4,3,1,4,2,4,4,4,3,4,5,4,5,39,22,"woman","high school","student",1200,"euro",1200,"Apple Smartphone",61,"iphone","mac","mac",187,"start.html - start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",8,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3.1 Mobile/15E148 Safari/604.1",NA,10297,NA,28308,27052,23260,52621,"participate","so",900,1440,2024-03-26 21:32:21,2024-03-26 21:35:28,7,4,3.4,4.11111111111111,3.42857142857143,4.125
40414,"74VAS",4.3,3.5,3.8,4,1,4.8,4.7,4.7,1.7,4.6,4.5,4.6,2,4.7,3.3,3.5,3.9,2.6,3.5,4.3,4.2,3.3,3.5,3.9,4.1,4.2,2.2,2,4.4,2.2,5,2.7,3.6,4,3.7,1.2,4.2,4.2,3.7,3.3,3.7,70,19,"woman","high school","student",700,"euro",700,"IPhone ",41,"iphone","mac","mac",251,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3.1 Mobile/15E148 Safari/604.1",NA,16699,NA,46992,39138,26208,87892,"participate","so",812,375,2024-03-27 07:18:26,2024-03-27 07:22:37,7,3.82857142857143,4.39,2.86666666666667,3.87142857142857,2.9625
52467,"66VASnt",5,4,4.5,5,2.2,2.6,4.3,4.4,4.6,4.1,4,5,2.1,4.1,5,2.2,5,1.8,1.9,3.4,4.2,4.5,5,3.4,5,4.7,2.3,4.4,2.7,4.4,3.1,4.3,4.2,4.2,5,4.7,4.7,3.3,4.7,2.9,5,50,20,"woman","high school","student",0,"euro",0,"Android Smartphone",33,"win","win","win",185,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0",NA,24749,28858,29331,25656,29826,44825,"participate","so",960,1440,2024-03-27 08:51:28,2024-03-27 08:54:33,7,5,3.98,2.82222222222222,3.68571428571429,4.4875
58897,"66VASnt",2.3,4.6,3.4,3.3,1,3.7,3,3.3,1.6,4,4.9,3,3.7,3.5,4.7,3.4,3.1,1.5,2.9,5,2.9,3.1,4.9,3.1,1.6,3.6,2.5,2.4,3.5,4.8,2.4,3.8,1,2.6,3.8,3.1,5,2.9,3.8,3.9,4.7,55,19,"woman","high school","student",NA,NA,NA,"Samsung Galaxy Book",28,"win","win","win",455,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0",NA,45059,92565,75398,77572,67575,94762,"participate","so",720,1280,2024-03-27 16:01:49,2024-03-27 16:09:24,7,3.38571428571429,3.36,3.13333333333333,3.94285714285714,2.775
67207,"89LIK",5,2,4,5,3,4,2,2,3,4,2,3,4,4,5,4,5,4,3,4,2,3,5,2,4,4,4,2,2,3,3,4,2,3,5,3,5,4,4,2,5,77,18,"woman","high school","employed",500,"dollar",460,"Playstation Five",72,"mac","mac","mac",220,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36",NA,16349,NA,45042,29247,28431,62451,"participate","jk",900,1440,2024-03-27 21:00:40,2024-03-27 21:04:20,7,4.85714285714286,3,3.77777777777778,3.28571428571429,2.75
57426,"89LIK",5,3,3,4,2,2,4,4,3,4,5,4,2,3,4,2,4,2,3,4,2,4,4,4,4,4,1,4,2,4,4,2,4,4,4,4,4,4,4,2,3,28,19,"woman","college","student",3500,"dollar",3220,"Android smartphone",24,"win","win","win",651,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",NA,397882,NA,69896,51181,31034,51287,"participate","jk",720,1280,2024-03-28 08:29:51,2024-03-28 08:40:42,7,4.14285714285714,3.5,2,4,3.625
92898,"89LIK",4,2,3,4,4,4,3,3,2,4,4,3,2,4,4,4,4,3,3,3,4,2,4,4,5,5,2,2,4,2,4,3,1,4,5,1,5,4,5,4,4,81,37,"woman","college graduate","student",0,"euro",0,"MP3 Player",0,"win","win","other",482,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",NA,54752,NA,84984,65205,55469,122876,"participate","so",720,1280,2024-03-28 09:45:14,2024-03-28 09:53:16,7,4.28571428571429,3.9,3.33333333333333,3.71428571428571,2
57678,"89LIK",5,2,4,5,3,2,4,2,1,5,5,4,3,4,4,2,4,3,5,3,1,2,3,5,4,4,3,2,1,5,1,3,2,2,5,2,5,4,3,3,5,48,19,"noanswer","high school","student",NA,NA,NA,"2014 Macbook Air",93,"win","other","other",368,"start.html - start.html - 148.html - 148.html - 270.html - 270.html - 392.html - 392.html - 469.html - 469.html - demosend.html - demosend.html - thank.html - thank.html",14,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:126.0) Gecko/20100101 Firefox/126.0",NA,26882,NA,169757,30758,25199,69348,"participate","re",1080,1920,2024-03-28 11:10:36,2024-03-28 11:16:44,7,4.28571428571429,2.5,3,4.85714285714286,2.375
54768,"66VASnt",4.6,2.8,3.7,2.8,3,3.4,2.1,3.1,1.4,4.7,4.6,3.3,3.3,3.2,2.2,3.9,3.9,1.5,3.2,1.6,2.4,2.9,4.5,3.5,1.8,3.9,3.1,1.8,2.6,3,3.1,4.7,2.5,3.9,2.5,2.4,4.7,3.3,3.5,3.4,3.5,46,24,"woman","high school","student",0,"euro",0,"Android Smartphone",24,"win","win","win",433,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0",NA,19269,60813,68992,93636,106742,81796,"participate","so",720,1280,2024-03-28 11:32:21,2024-03-28 11:39:34,7,3.18571428571429,2.94,3.31111111111111,3.85714285714286,2.6
31871,"89LIK",5,2,3,5,4,3,4,4,3,4,5,5,4,4,5,4,5,3,4,4,4,2,4,3,5,3,4,3,2,4,2,4,4,4,5,4,4,4,3,3,5,20,29,"woman","college","employed",8000,"euro",8000,"Android",70,"android","win","win",228,"start.html - start.html - start.html - start.html - 148.html - 148.html - 148.html - 270.html - 270.html - 270.html - 270.html - 392.html - 469.html - 469.html - 469.html - demosend.html - thank.html",17,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Mobile Safari/537.36",NA,9879,NA,28308,33992,37299,73451,"participate","re",854,385,2024-03-28 11:59:56,2024-03-28 12:03:44,7,4.85714285714286,3.4,3.77777777777778,4,3.25
33837,"89LIK",4,2,4,1,3,3,3,3,4,5,5,2,4,3,2,2,4,2,4,5,4,2,2,4,2,5,4,2,4,5,3,5,2,5,3,3,5,4,4,5,4,29,44,"woman","high school","employed",2500,"dollar",2300,"laptop",26,"linux","linux","linux",117,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (X11; Linux x86_64; rv:108.0) Gecko/20100101 Firefox/108.0",NA,6945,NA,18044,16221,16348,30825,"participate","re",768,1366,2024-03-28 14:16:30,2024-03-28 14:18:27,7,2.57142857142857,3.9,3.55555555555556,4.57142857142857,2.625
79725,"89LIK",5,1,4,4,1,4,3,4,5,5,5,4,1,4,5,4,5,3,4,5,4,4,5,5,4,5,1,5,3,5,3,3,4,5,5,4,5,5,5,2,4,18,29,"woman","college graduate","employed",190000,"dollar",174800,"PC",23,"iphone","win","win",246,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/123.0.6312.52 Mobile/15E148 Safari/604.1",NA,31013,NA,29451,30075,23775,85825,"participate","re",667,375,2024-03-28 14:25:48,2024-03-28 14:29:54,7,4.71428571428571,4.1,2.55555555555556,4.85714285714286,3.875
31872,"89LIK",4,3,3,4,1,3,3,4,2,3,5,4,2,3,3,1,3,2,3,3,2,3,3,3,5,3,2,1,1,4,3,3,4,2,4,4,5,3,3,3,3,36,34,"woman","college","student",1000,"euro",1000,"Laptop ",55,"android","win","win",142,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Mobile Safari/537.36",NA,15866,NA,18712,23221,19929,45659,"participate","re",803,360,2024-03-28 19:13:36,2024-03-28 19:15:58,7,3.71428571428571,2.7,2.22222222222222,3.71428571428571,3
24064,"66VASnt",5,2.3,5,5,1.7,1.8,3,3,4.5,4.7,4.5,4.9,2.6,3,4,1,5,1.9,4.2,4.5,1.3,3.4,4.2,3.7,4.8,5,2.5,4.5,1.2,4.8,1.9,3.5,4.8,4.8,5,5,5,2.2,3,1.7,4.4,55,37,"man","high school","unemployed",900,"euro",900,"PC",50,"android","win","linux",320,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Android 10; Mobile; rv:124.0) Gecko/124.0 Firefox/124.0",NA,9217,99305,50049,57690,33653,68633,"participate","re",780,360,2024-03-29 02:34:32,2024-03-29 02:39:52,7,4.71428571428571,3.07,2.34444444444444,4.15714285714286,4.3
51984,"89LIK",5,3,4,4,3,4,3,4,3,5,4,3,2,2,4,3,4,3,4,3,3,4,4,4,3,4,2,4,3,3,3,4,2,4,4,3,3,4,4,3,3,41,18,"woman","high school","student",700,"euro",700,"Laptop",37,"android","win","win",370,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Mobile Safari/537.36 (Ecosia android@111.0.5563.116)",NA,25930,NA,45705,65686,36279,83925,"participate","so",780,360,2024-03-29 13:49:51,2024-03-29 13:56:01,7,4,3.3,3,3.85714285714286,3.25
96003,"89LIK",3,4,2,4,2,3,4,2,2,5,5,1,2,2,5,2,3,2,5,4,2,1,5,4,3,4,2,2,3,5,2,2,3,4,4,1,5,4,3,3,3,54,25,"woman","high school","student",400,"euro",400,"Android Smartphone",35,"linux","linux","win",1059,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (X11; Linux x86_64; rv:102.0) Gecko/20100101 Firefox/102.0",NA,39327,NA,53336,39687,81829,751348,"participate","so",900,1600,2024-03-29 19:09:13,2024-03-29 19:26:52,7,3.85714285714286,3,2.33333333333333,4.71428571428571,2
24866,"66VASnt",4,3.7,3.6,3.7,4.3,3.9,3.7,2.4,1.8,4.3,3.3,3.3,3.7,2,4.9,4.3,4.3,2.4,3.8,4.1,1.5,4.2,4.1,4.4,4.2,4.7,4,1.9,1.8,3.4,1.7,4.6,2.9,3.1,4.1,3.5,3.5,3.9,2,3.1,4.1,61,22,"woman","high school","student",700,"euro",700,"iPad",57,"iphone","mac","mac",239,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3.1 Mobile/15E148 Safari/604.1",NA,13277,35749,41158,34621,47195,64158,"participate","so",844,390,2024-03-29 20:42:10,2024-03-29 20:46:09,7,4.18571428571429,2.7,3.82222222222222,3.8,3.1125
