"","ID","exp_cond","big_Or01","big_N02","big_Nr03","big_O04","big_E05","big_E06","big_C07","big_C08","big_N09","big_A10","big_Ar11","big_Nr12","big_Er13","big_C14","big_Or15","big_E16","big_O17","big_E18","big_A19","big_Cr20","big_Cr21","big_N22","big_Or23","big_A24","big_Or25","big_C26","big_Er27","big_Nr28","big_Cr29","big_Ar30","big_C31","big_Er32","big_N33","big_Cr34","big_Or35","big_N36","big_Ar37","big_A38","big_Cr39","big_E40","big_Er41","vas_ar","age","gender","edu","occ","income","inc_cur","inc_normed","fav_device","tech_interest","operating_sys","os_use","os_pref","IP","session_length","page_trail","pages_visited","os_auto","fbclid","quit_early","rt_1","rt_2","rt_3","rt_4","rt_5","rt_6","seriousness","so","validation_kicked_in_2","vi_1","vi_2","vi_3","vi_4","vi_5","vi_6","z0_browser_screen_h","z0_browser_screen_w","start","end","plausicheck","true_trail","do_idx"
"11",95552,"74VAS",4,1.5,1.9,5,3.2,3.7,4,3.9,1.5,4.7,4.6,3.6,1.9,4.2,3.9,3.5,2,3.4,4,4.6,4.1,1.3,4,4.1,4.5,4.6,2.2,2,4,3.5,3.5,3.4,1.9,4.8,4.8,2.3,4.9,3.7,4.7,3.9,3.6,60,29,"man","high school","employed",5200,"dollar",4784,"Xbox",64,"win","win","win","71.207.83.231",347,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0",NA,NA,22606,NA,69482,52055,36848,123442,"participate","jk",0,1,NA,1,1,1,1,720,1280,2024-03-23 01:43:18,2024-03-23 01:49:05,0,7,0
"12",18788,"89LIK",3,5,1,3,4,4,5,5,2,5,5,2,2,5,3,5,3,4,5,5,5,4,1,5,3,5,4,2,5,5,5,5,4,4,3,4,5,4,5,2,5,42,35,"woman","technical school","employed",1300,"dollar",1196,"Google Pixel",54,"win","other","other","73.187.52.215",290,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36",NA,NA,23201,NA,50101,44699,34241,92968,"participate","jk",1,1,NA,1,1,1,1,720,1280,2024-03-23 01:43:40,2024-03-23 01:48:30,0,7,0
"13",16854,"89LIK",5,2,2,5,3,3,4,2,4,5,4,4,1,2,5,3,5,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,"man",NA,NA,NA,NA,NA,NA,NA,"win",NA,NA,"71.247.64.136",126,"start.html - 148.html - 270.html - 392.html",4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0",NA,NA,49838,NA,41563,33429,NA,NA,"participate","jk",0,1,NA,1,1,NA,NA,864,1536,2024-03-23 02:32:21,2024-03-23 02:34:27,0,4,20
"14",33952,"74VAS",5,4.4,4.4,2.9,1.6,1.4,3.3,2.6,1,5,4.2,3.4,4.4,5,1,1.2,2.8,1.9,1.7,4,4.2,4.6,3.7,4,3.3,4,1.9,1,5,2.5,1.6,3.9,3.5,2.1,3.7,1,5,3.4,3.8,3.1,4,80,18,"woman","primary","employed",200,"dollar",184,"Apple phone",29,"linux","mac","mac","73.101.7.144",374,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",NA,NA,75856,NA,58630,63985,54608,49119,"participate","jk",0,1,NA,1,1,1,1,768,1366,2024-03-23 02:49:46,2024-03-23 02:56:00,0,7,0
"15",51924,"74VAS",4.4,2.5,2.7,4.3,4.3,3.7,4,5,1,5,5,5,3.9,5,4.5,4.9,4.4,4.5,4.1,5,5,2.3,3.8,5,4.7,5,3.9,1,3.7,2.6,5,5,1,5,5,1,4.8,4.6,4.2,3.6,4.6,95,19,"woman","primary","student",NA,"dollar",NA,"Ipad",78,"iphone","mac","mac","104.28.85.187",439,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Mobile/15E148 Safari/604.1",NA,NA,79736,NA,85949,67445,52302,74838,"participate","jk",0,1,NA,1,1,1,1,844,390,2024-03-23 05:10:15,2024-03-23 05:17:34,0,7,0
"16",26941,"89LIK",5,2,2,3,1,4,4,1,2,5,5,3,1,3,3,3,4,4,4,5,4,2,3,5,2,4,4,2,2,5,5,5,2,5,5,2,5,4,4,4,5,69,37,"woman","high school","employed",7000,"dollar",6440,"iPhone",64,"mac","mac","mac","69.144.60.72",518,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:124.0) Gecko/20100101 Firefox/124.0",NA,NA,34890,NA,73962,65539,80589,173280,"participate","jk",1,1,NA,1,1,1,1,956,1470,2024-03-23 23:09:21,2024-03-23 23:17:59,0,7,0
"17",20420,"66VASnt",5,3,4.4,3.4,1.1,1.8,4.6,4.5,1.9,4.1,2.4,2.4,1,5,1.8,1.3,5,1.4,2.6,3.6,2.9,1.5,5,2.7,1.2,5,1.3,3,2.2,4.5,3.6,1.2,1.8,3.7,3.3,1.3,3.2,1.8,4.4,2,1.4,54,60,"man","technical school","retired",1800,"pound",1800,"iPad",99,"mac","mac","mac","79.78.232.204",220,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15",NA,NA,24645,39698,33583,31514,31021,58963,"participate","jk",0,1,1,1,1,1,1,1440,2560,2024-03-24 19:15:58,2024-03-24 19:19:38,0,7,0
"18",48670,"89LIK",4,4,3,4,2,5,3,4,1,5,4,3,4,4,4,3,4,5,5,5,5,4,4,4,3,5,4,2,4,5,5,3,2,3,4,3,5,4,4,4,3,50,25,"woman","college","employed",50000,"dollar",46000,"I phone",7,"win","win","win","70.16.136.58",256,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0",NA,NA,21933,NA,42253,42164,52309,43548,"participate","jk",0,1,NA,1,1,1,1,800,1280,2024-03-25 00:54:09,2024-03-25 00:58:25,0,7,0
"19",52687,"89LIK",1,1,1,5,5,5,5,5,1,5,4,1,5,5,2,5,1,5,5,5,5,1,5,5,1,3,5,1,5,5,2,5,1,5,3,1,5,5,5,5,5,90,21,"woman","high school","employed",2000,"dollar",1840,"apple smartphone",19,"linux","mac","mac","67.181.164.61",289,"start.html - 148.html - 270.html - 392.html - 392.html - 469.html - demosend.html - thank.html",8,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",NA,NA,58825,NA,35527,47624,31080,71506,"justLook","jk",0,1,NA,1,1,1,1,864,1536,2024-03-25 01:16:12,2024-03-25 01:21:01,0,7,0
"20",72228,"74VAS",5,3.3,1.6,5,5,4.1,2.2,1,1.7,4.1,3.8,3.8,3,1.9,5,3.8,1,5,4.2,2.3,2.2,2.2,4,4.7,4.4,4.6,3.8,2.1,1.8,5,2.2,2.2,2.2,3.7,4.3,3.4,5,4.1,3.8,3.5,3.1,84,33,"woman","college graduate","employed",2000,"euro",2000,"electronic drumkit",79,"win","win","other","134.34.7.141",400,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:124.0) Gecko/20100101 Firefox/124.0",NA,NA,37426,NA,48434,78223,50108,73930,"participate","ind",0,1,NA,1,1,1,1,1080,1920,2024-03-25 14:05:53,2024-03-25 14:12:33,0,7,0
"21",69120,"74VAS",1.7,1,1.8,1.9,1,4.4,4.7,4.4,1,3.9,4.7,4.8,1.9,4.5,4.7,2,1,2.1,3.7,1.9,2.1,1,5,3.5,2.2,5,2.1,1.4,4.6,3.1,1.4,2.7,1.4,4.5,4,1.2,5,4.5,4.8,3.8,4.1,56,21,"man","high school","employed",2300,"dollar",2116,"Custom Built Gaming PC",100,"win","win","win","107.77.237.202",246,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",NA,NA,36432,NA,40375,33027,26344,68468,"participate","jk",0,1,NA,1,1,1,1,1152,2048,2024-03-25 18:19:31,2024-03-25 18:23:37,0,7,0
"22",11105,"89LIK",4,5,5,4,3,5,2,4,4,4,2,3,4,3,4,4,3,4,3,4,2,5,4,5,5,5,4,5,4,3,1,4,2,4,4,4,3,4,5,4,5,39,22,"woman","high school","student",1200,"euro",1200,"Apple Smartphone",61,"iphone","mac","mac","89.244.122.111",187,"start.html - start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",8,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3.1 Mobile/15E148 Safari/604.1",NA,NA,10297,NA,28308,27052,23260,52621,"participate","so",0,1,NA,1,1,1,1,900,1440,2024-03-26 21:32:21,2024-03-26 21:35:28,0,7,0
"23",40414,"74VAS",4.3,3.5,3.8,4,1,4.8,4.7,4.7,1.7,4.6,4.5,4.6,2,4.7,3.3,3.5,3.9,2.6,3.5,4.3,4.2,3.3,3.5,3.9,4.1,4.2,2.2,2,4.4,2.2,5,2.7,3.6,4,3.7,1.2,4.2,4.2,3.7,3.3,3.7,70,19,"woman","high school","student",700,"euro",700,"IPhone ",41,"iphone","mac","mac","141.70.82.201",251,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3.1 Mobile/15E148 Safari/604.1",NA,NA,16699,NA,46992,39138,26208,87892,"participate","so",0,1,NA,1,1,1,1,812,375,2024-03-27 07:18:26,2024-03-27 07:22:37,0,7,0
"24",52467,"66VASnt",5,4,4.5,5,2.2,2.6,4.3,4.4,4.6,4.1,4,5,2.1,4.1,5,2.2,5,1.8,1.9,3.4,4.2,4.5,5,3.4,5,4.7,2.3,4.4,2.7,4.4,3.1,4.3,4.2,4.2,5,4.7,4.7,3.3,4.7,2.9,5,50,20,"woman","high school","student",0,"euro",0,"Android Smartphone",33,"win","win","win","88.153.185.86",185,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0",NA,NA,24749,28858,29331,25656,29826,44825,"participate","so",0,1,1,1,1,1,1,960,1440,2024-03-27 08:51:28,2024-03-27 08:54:33,0,7,0
"25",58897,"66VASnt",2.3,4.6,3.4,3.3,1,3.7,3,3.3,1.6,4,4.9,3,3.7,3.5,4.7,3.4,3.1,1.5,2.9,5,2.9,3.1,4.9,3.1,1.6,3.6,2.5,2.4,3.5,4.8,2.4,3.8,1,2.6,3.8,3.1,5,2.9,3.8,3.9,4.7,55,19,"woman","high school","student",NA,NA,NA,"Samsung Galaxy Book",28,"win","win","win","92.196.18.21",455,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0",NA,NA,45059,92565,75398,77572,67575,94762,"participate","so",0,1,1,1,1,1,1,720,1280,2024-03-27 16:01:49,2024-03-27 16:09:24,0,7,0
"26",67207,"89LIK",5,2,4,5,3,4,2,2,3,4,2,3,4,4,5,4,5,4,3,4,2,3,5,2,4,4,4,2,2,3,3,4,2,3,5,3,5,4,4,2,5,77,18,"woman","high school","employed",500,"dollar",460,"Playstation Five",72,"mac","mac","mac","76.78.230.63",220,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36",NA,NA,16349,NA,45042,29247,28431,62451,"participate","jk",0,1,NA,1,1,1,1,900,1440,2024-03-27 21:00:40,2024-03-27 21:04:20,0,7,0
"27",57426,"89LIK",5,3,3,4,2,2,4,4,3,4,5,4,2,3,4,2,4,2,3,4,2,4,4,4,4,4,1,4,2,4,4,2,4,4,4,4,4,4,4,2,3,28,19,"woman","college","student",3500,"dollar",3220,"Android smartphone",24,"win","win","win","71.239.84.217",651,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",NA,NA,397882,NA,69896,51181,31034,51287,"participate","jk",0,1,NA,1,1,1,1,720,1280,2024-03-28 08:29:51,2024-03-28 08:40:42,0,7,0
"28",92898,"89LIK",4,2,3,4,4,4,3,3,2,4,4,3,2,4,4,4,4,3,3,3,4,2,4,4,5,5,2,2,4,2,4,3,1,4,5,1,5,4,5,4,4,81,37,"woman","college graduate","student",0,"euro",0,"MP3 Player",0,"win","win","other","93.210.249.205",482,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",NA,NA,54752,NA,84984,65205,55469,122876,"participate","so",0,1,NA,1,1,1,1,720,1280,2024-03-28 09:45:14,2024-03-28 09:53:16,0,7,0
"29",57678,"89LIK",5,2,4,5,3,2,4,2,1,5,5,4,3,4,4,2,4,3,5,3,1,2,3,5,4,4,3,2,1,5,1,3,2,2,5,2,5,4,3,3,5,48,19,"noanswer","high school","student",NA,NA,NA,"2014 Macbook Air",93,"win","other","other","154.16.81.240",368,"start.html - start.html - 148.html - 148.html - 270.html - 270.html - 392.html - 392.html - 469.html - 469.html - demosend.html - demosend.html - thank.html - thank.html",14,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:126.0) Gecko/20100101 Firefox/126.0",NA,NA,26882,NA,169757,30758,25199,69348,"participate","re",0,1,NA,1,1,1,1,1080,1920,2024-03-28 11:10:36,2024-03-28 11:16:44,0,7,0
"30",54768,"66VASnt",4.6,2.8,3.7,2.8,3,3.4,2.1,3.1,1.4,4.7,4.6,3.3,3.3,3.2,2.2,3.9,3.9,1.5,3.2,1.6,2.4,2.9,4.5,3.5,1.8,3.9,3.1,1.8,2.6,3,3.1,4.7,2.5,3.9,2.5,2.4,4.7,3.3,3.5,3.4,3.5,46,24,"woman","high school","student",0,"euro",0,"Android Smartphone",24,"win","win","win","79.198.11.49",433,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0",NA,NA,19269,60813,68992,93636,106742,81796,"participate","so",0,1,1,1,1,1,1,720,1280,2024-03-28 11:32:21,2024-03-28 11:39:34,0,7,0
"31",31871,"89LIK",5,2,3,5,4,3,4,4,3,4,5,5,4,4,5,4,5,3,4,4,4,2,4,3,5,3,4,3,2,4,2,4,4,4,5,4,4,4,3,3,5,20,29,"woman","college","employed",8000,"euro",8000,"Android",70,"android","win","win","83.251.38.232",228,"start.html - start.html - start.html - start.html - 148.html - 148.html - 148.html - 270.html - 270.html - 270.html - 270.html - 392.html - 469.html - 469.html - 469.html - demosend.html - thank.html",17,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Mobile Safari/537.36",NA,NA,9879,NA,28308,33992,37299,73451,"participate","re",0,1,NA,1,1,1,1,854,385,2024-03-28 11:59:56,2024-03-28 12:03:44,0,7,0
"32",33837,"89LIK",4,2,4,1,3,3,3,3,4,5,5,2,4,3,2,2,4,2,4,5,4,2,2,4,2,5,4,2,4,5,3,5,2,5,3,3,5,4,4,5,4,29,44,"woman","high school","employed",2500,"dollar",2300,"laptop",26,"linux","linux","linux","47.42.120.71",117,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (X11; Linux x86_64; rv:108.0) Gecko/20100101 Firefox/108.0",NA,NA,6945,NA,18044,16221,16348,30825,"participate","re",0,1,NA,1,1,1,1,768,1366,2024-03-28 14:16:30,2024-03-28 14:18:27,0,7,0
"33",79725,"89LIK",5,1,4,4,1,4,3,4,5,5,5,4,1,4,5,4,5,3,4,5,4,4,5,5,4,5,1,5,3,5,3,3,4,5,5,4,5,5,5,2,4,18,29,"woman","college graduate","employed",190000,"dollar",174800,"PC",23,"iphone","win","win","76.217.237.210",246,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/123.0.6312.52 Mobile/15E148 Safari/604.1",NA,NA,31013,NA,29451,30075,23775,85825,"participate","re",0,1,NA,1,1,1,1,667,375,2024-03-28 14:25:48,2024-03-28 14:29:54,0,7,0
"34",31872,"89LIK",4,3,3,4,1,3,3,4,2,3,5,4,2,3,3,1,3,2,3,3,2,3,3,3,5,3,2,1,1,4,3,3,4,2,4,4,5,3,3,3,3,36,34,"woman","college","student",1000,"euro",1000,"Laptop ",55,"android","win","win","85.76.116.19",142,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Mobile Safari/537.36",NA,NA,15866,NA,18712,23221,19929,45659,"participate","re",0,1,NA,1,1,1,1,803,360,2024-03-28 19:13:36,2024-03-28 19:15:58,0,7,0
